Date,t,Orders,Orders_NA,Pop_Growth,Pop_NA,EFFR,EFFR_NA,Inflation,Inflation_NA,GDP,GDP_NA,Unem,Unem_NA,Permit,Permit_NA
1/1/2018,1,1.266171346,1.266171346,0.0057,0.0057,1.3,1.3,2.1,2.1,18437.127,18437.127,4,4,1335174,1335174
2/1/2018,2,-0.617705147,-0.617705147,0.0056,0.0056,1.416315789,1.416315789,2.2,2.2,18437.127,18437.127,4.1,4.1,1355642,1355642
3/1/2018,3,0.882906472,0.882906472,0.0055,0.0055,1.505454545,1.505454545,2.4,2.4,18437.127,18437.127,4,4,1345261,1345261
4/1/2018,4,0.69360659,0.69360659,0.0055,0.0055,1.692380952,1.692380952,2.5,2.5,18565.697,18565.697,4,4,1356953,1356953
5/1/2018,5,1.323790743,1.323790743,0.0054,0.0054,1.7,1.7,2.8,2.8,18565.697,18565.697,3.8,3.8,1364892,1364892
6/1/2018,6,0.766773367,0.766773367,0.0053,0.0053,1.820952381,1.820952381,2.9,2.9,18565.697,18565.697,4,4,1346265,1346265
7/1/2018,7,0.337405807,0.337405807,0.0052,0.0052,1.91,1.91,2.9,2.9,18699.748,18699.748,3.8,3.8,1338377,1338377
8/1/2018,8,0.965349703,0.965349703,0.0052,0.0052,1.914782609,1.914782609,2.7,2.7,18699.748,18699.748,3.8,3.8,1339536,1339536
9/1/2018,9,0.135110646,0.135110646,0.0051,0.0051,1.948947368,1.948947368,2.3,2.3,18699.748,18699.748,3.7,3.7,1325585,1325585
10/1/2018,10,0.743250674,0.743250674,0.0051,0.0051,2.188181818,2.188181818,2.5,2.5,18733.741,18733.741,3.8,3.8,1308508,1308508
11/1/2018,11,0.054999074,0.054999074,0.0051,0.0051,2.199,2.199,2.2,2.2,18733.741,18733.741,3.8,3.8,1296961,1309485.5
12/1/2018,12,-0.036089756,-0.036089756,0.005,0.005,2.267,2.267,1.9,1.9,18733.741,18733.741,3.9,3.9,1287899,1310463
1/1/2019,13,0.377103153,0.377103153,0.0049,0.0049,2.4,2.4,1.6,1.6,18835.411,18835.411,4,4,1294398,1311440.5
2/1/2019,14,-0.076459178,-0.076459178,0.0049,0.0049,2.4,2.4,1.5,1.5,18835.411,18835.411,3.8,3.8,1312418,1312418
3/1/2019,15,0.351609034,0.351609034,0.0049,0.0049,2.403809524,2.403809524,1.9,1.9,18835.411,18835.411,3.8,3.8,1323764,1323764
4/1/2019,16,0.368903814,0.368903814,0.0049,0.0049,2.423181818,2.423181818,2,2,18962.175,18962.175,3.6,3.6,1358075,1358075
5/1/2019,17,0.324949981,0.324949981,0.0048,0.0048,2.392727273,2.392727273,1.8,1.8,18962.175,18962.175,3.6,3.6,1367893,1367893
6/1/2019,18,0.43996475,0.43996475,0.0048,0.0048,2.3755,2.3755,1.6,1.6,18962.175,18962.175,3.6,3.6,1386880,1386880
7/1/2019,19,0.211996249,0.211996249,0.0048,0.0048,2.402727273,2.402727273,1.8,1.8,19130.932,19130.932,3.7,3.7,1412995,1412995
8/1/2019,20,0.41917517,0.41917517,0.0048,0.0048,2.125,2.125,1.7,1.7,19130.932,19130.932,3.7,3.7,1424952,1424952
9/1/2019,21,0.780797373,0.780797373,0.0048,0.0048,2.0525,2.0525,1.7,1.7,19130.932,19130.932,3.5,3.5,1434950,1434950
10/1/2019,22,1.471737282,0.29161568,0.0048,0.0048,1.83,1.83,1.8,1.8,19215.691,19215.691,3.6,3.6,1436789,1436789
11/1/2019,23,-0.343273726,-0.343273726,0.0048,0.0048,1.552631579,1.552631579,2.1,2.1,19215.691,19215.691,3.6,3.6,1459790,1459790
12/1/2019,24,-0.19814991,-0.19814991,0.0048,0.0048,1.550952381,1.550952381,2.3,2.3,19215.691,19215.691,3.6,3.6,1463531,1463531
1/1/2020,25,0.265090328,0.265090328,0.0049,0.0049,1.551904762,1.551904762,2.5,2.5,18989.877,18989.877,3.5,3.5,1489988,1489988
2/1/2020,26,-0.382791851,-0.382791851,0.0049,0.0049,1.583684211,1.583684211,2.3,2.3,18989.877,18989.877,3.5,3.5,1501841,1501841
3/1/2020,27,0.841777155,0.841777155,0.0049,0.0049,0.625454545,1.58856806,1.5,1.5,18989.877,18989.877,4.4,3.51818182,1508887,1508887
4/1/2020,28,-0.464113162,-0.464113162,0.011,0.00501016,0.048636364,1.59100998,0.3,1.375,17378.712,18928.33775,14.7,3.53636364,1466175,1466175
5/1/2020,29,-0.326964659,-0.326964659,0.0105,0.00522447,0.05,1.59345191,0.1,1.25,17378.712,18866.7985,13.2,3.55454545,1461910,1461910
6/1/2020,30,0.763278567,0.763278567,0.0102,0.00555457,0.076818182,1.59589383,0.6,1.125,17378.712,18805.25925,11,3.57272727,1463182,1463182
7/1/2020,31,2.182212227,1.25212082,0.0099,0.00597915,0.093478261,1.59833575,1,1,18743.72,18743.72,10.2,3.59090909,1474982,1474982
8/1/2020,32,2.548135723,0.94362408,0.0096,0.00652652,0.094761905,1.60077768,1.3,1.3,18743.72,18743.72,8.4,3.60909091,1486856,1486856
9/1/2020,33,2.368691177,-0.01275672,0.0093,0.00714562,0.09,1.6032196,1.4,1.4,18743.72,18743.72,7.9,3.62727273,1505074,1505074
10/1/2020,34,1.421824367,-0.53486042,0.009,0.00759255,0.09,1.60566152,1.2,1.2,18924.262,18924.262,6.9,3.64545455,1525872,1525872
11/1/2020,35,-0.478405998,-0.478405998,0.0087,0.00785842,0.086842105,1.60810345,1.2,1.2,18924.262,18924.262,6.7,3.66363636,1542987,1542987
12/1/2020,36,-0.032146904,-0.032146904,0.0083,0.00792606,0.09,1.61054537,1.4,1.4,18924.262,18924.262,6.7,3.68181818,1566367,1566367
1/1/2021,37,-0.262221246,-0.262221246,0.0078,0.0078,0.085263158,1.6129873,1.4,1.4,19216.224,19216.224,6.4,3.7,1583380,1583380
