DATE,TTLCONS
1/1/2018,1335174
2/1/2018,1355642
3/1/2018,1345261
4/1/2018,1356953
5/1/2018,1364892
6/1/2018,1346265
7/1/2018,1338377
8/1/2018,1339536
9/1/2018,1325585
10/1/2018,1308508
11/1/2018,1296961
12/1/2018,1287899
1/1/2019,1294398
2/1/2019,1312418
3/1/2019,1323764
4/1/2019,1358075
5/1/2019,1367893
6/1/2019,1386880
7/1/2019,1412995
8/1/2019,1424952
9/1/2019,1434950
10/1/2019,1436789
11/1/2019,1459790
12/1/2019,1463531
1/1/2020,1489988
2/1/2020,1501841
3/1/2020,1508887
4/1/2020,1466175
5/1/2020,1461910
6/1/2020,1463182
7/1/2020,1474982
8/1/2020,1486856
9/1/2020,1505074
10/1/2020,1525872
11/1/2020,1542987
12/1/2020,1566367
1/1/2021,1583380
2/1/2021,1569822
3/1/2021,1600520
4/1/2021,1608488
5/1/2021,1621942
6/1/2021,1627985
7/1/2021,1637329
8/1/2021,1641600
9/1/2021,1632860
10/1/2021,1644332
11/1/2021,1665191
12/1/2021,1681044
1/1/2022,1726585
2/1/2022,1753123
3/1/2022,1768168
4/1/2022,1780890
5/1/2022,1793778
6/1/2022,1803791
7/1/2022,1817862
8/1/2022,1797771
9/1/2022,1807497
10/1/2022,1808343
11/1/2022,1817287
12/1/2022,1809785
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
