Date,Value
1/1/2017,0.0069
2/1/2017,0.0067
3/1/2017,0.0067
4/1/2017,0.0066
5/1/2017,0.0065
6/1/2017,0.0064
7/1/2017,0.0063
8/1/2017,0.0062
9/1/2017,0.0062
10/1/2017,0.006
11/1/2017,0.0059
12/1/2017,0.0058
1/1/2018,0.0057
2/1/2018,0.0056
3/1/2018,0.0055
4/1/2018,0.0055
5/1/2018,0.0054
6/1/2018,0.0053
7/1/2018,0.0052
8/1/2018,0.0052
9/1/2018,0.0051
10/1/2018,0.0051
11/1/2018,0.0051
12/1/2018,0.005
1/1/2019,0.0049
2/1/2019,0.0049
3/1/2019,0.0049
4/1/2019,0.0049
5/1/2019,0.0048
6/1/2019,0.0048
7/1/2019,0.0048
8/1/2019,0.0048
9/1/2019,0.0048
10/1/2019,0.0048
11/1/2019,0.0048
12/1/2019,0.0048
1/1/2020,0.0049
2/1/2020,0.0049
3/1/2020,0.0049
4/1/2020,0.011
5/1/2020,0.0105
6/1/2020,0.0102
7/1/2020,0.0099
8/1/2020,0.0096
9/1/2020,0.0093
10/1/2020,0.009
11/1/2020,0.0087
12/1/2020,0.0083
1/1/2021,0.0078
2/1/2021,0.0075
3/1/2021,0.0072
4/1/2021,0.0008
5/1/2021,0.0009
6/1/2021,0.0011
7/1/2021,0.0012
8/1/2021,0.0013
9/1/2021,0.0014
10/1/2021,0.0015
11/1/2021,0.0017
12/1/2021,0.0019
1/1/2022,0.0021
2/1/2022,0.0023
3/1/2022,0.0025
4/1/2022,0.0027
5/1/2022,0.0027
6/1/2022,0.0028
7/1/2022,0.0028
8/1/2022,0.0028
9/1/2022,0.0028
10/1/2022,0.0028
11/1/2022,0.0028
12/1/2022,0.0028
